hgnc_symbol	chromosome_name
MT-TF	MT
MT-RNR1	MT
MT-TV	MT
MT-RNR2	MT
MT-TL1	MT
MT-ND1	MT
MT-TI	MT
MT-TQ	MT
MT-TM	MT
MT-ND2	MT
MT-TW	MT
MT-TA	MT
MT-TN	MT
MT-TC	MT
MT-TY	MT
MT-CO1	MT
MT-TS1	MT
MT-TD	MT
MT-CO2	MT
MT-TK	MT
MT-ATP8	MT
MT-ATP6	MT
MT-CO3	MT
MT-TG	MT
MT-ND3	MT
MT-TR	MT
MT-ND4L	MT
MT-ND4	MT
MT-TH	MT
MT-TS2	MT
MT-TL2	MT
MT-ND5	MT
MT-ND6	MT
MT-TE	MT
MT-CYB	MT
MT-TT	MT
MT-TP	MT
MIR3170	13
AC006011.1	2
AC012314.16	CHR_HSCHR19LRC_LRC_T_CTG3_1
MIR4536-2	X
MIR323B	14
AL160313.1	14
RNA5SP520	Y
RNU2-53P	15
MIR5701-2	15
MIR4312	15
AC008427.1	5
RNY1P3	13
ABBA01010928.1	14
MIR6504	16
AC093024.1	12
RNU6-721P	18
MIR6165	17
AC080098.1	3
RN7SL565P	9
MIR657	17
RNU6-1213P	8
MIR150	19
RN7SL767P	3
MIR8074	19
ST13P19	CHR_HG1832_PATCH
AC141272.1	KI270728.1
MIR8485	2
RNU6-2	19
MIR548F2	2
ABBA01031658.1	20
AL713888.1	10
MIR941-5	20
MIR6821	22
AC007325.4	KI270734.1
RNU6-529P	10
RNU6-903P	18
MIR7976	3
MIR4452	4
RNA5SP137	3
RNU7-40P	12
MIR8066	4
AC005537.1	7
MIR9-2	5
MIR3914-2	7
RN7SL134P	16
CR847794.2	CHR_HSCHR6_MHC_MANN_CTG1
MIR2861	9
MIR3689D1	9
AL079341.1	6
RNU2-41P	2
AL714019.1	1
AL391987.2	9
RNU6-1028P	19
AC231273.1	CHR_HSCHR10_1_CTG1
RNU4-25P	8
AC090958.4	CHR_HSCHR3_1_CTG1
AC008752.1	19
AC010853.1	18
MIR3675	1
SNORD117	CHR_HSCHR6_MHC_SSTO_CTG1
RN7SL704P	22
MIR6878	1
AC062037.1	2
MIRLET7A2	11
AL121839.4	14
MIR614	12
AC020663.4	16
AC002064.1	7
MIR6502	12
AL662859.1	CHR_HSCHR6_MHC_COX_CTG1
MIR8067	15
Z73420.1	22
AC093608.1	4
MIR422A	15
AC027237.1	15
MIR1269B	17
RNA5SP451	18
TSEN34	CHR_HSCHR19LRC_LRC_T_CTG3_1
MIR4522	17
MED22	CHR_HG2030_PATCH
BX276089.1	6
MIR5684	19
RNU6-565P	7
AC026318.1	3
MIR4786	2
RN7SKP134	12
MIR103B2	20
SNORD77B	8
MIR647	20
SNORA74D	5
AC061965.1	15
MIR4279	5
AL109920.1	6
NCR1	CHR_HSCHR19LRC_PGF2_CTG3_1
MIR3141	5
RNU6-284P	4
AC013471.1	2
MIR1236	6
MIR4426	1
AC002461.1	7
MIR6124	11
MIR588	6
MIR1260B	11
RNU6-1218P	8
MIR3943	7
MIR3920	11
MIR335	7
MIR4495	12
SNORA4	3
RNU4-74P	7
MIR8079	13
MIR6847	8
AC091825.1	5
MIR7703	14
MIR4477A	9
RN7SKP43	2
MIR3713	15
MIR3074	9
AC025750.4	2
MIR6768	16
AL355132.1	13
MIR8081	9
MIR3179-2	16
RNU6-717P	12
MIR602	9
MIR27A	19
AC119038.1	3
AC008847.1	5
MIR500A	X
MIR4261	2
MIR1468	X
RNU4ATAC15P	9
RNU6-166P	12
MIR4772	2
MIR514A2	X
RNA5SP290	9
MIR9500	2
RNU6-22P	16
RNU1-47P	14
MIR548X	21
AL049745.1	1
MIR4790	3
RNU6-919P	20
AL132709.1	14
MIR8064	3
RN7SKP38	2
MIR548AG1	4
RNU6-242P	2
RN7SL193P	4
RNU6-24P	17
MIR367	4
RN7SL863P	3
RNA5SP40	1
MIR3688-1	4
RNA5SP56	1
MIR7161	6
AC113208.1	15
AC126755.2	16
RNU6-1251P	20
MIR651	X
RNU6-1065P	17
MIR548I4	X
AL023281.1	22
RNU6-1147P	2
MIR1911	X
AC096637.1	1
AL513342.1	1
AL356273.2	1
RNU6-103P	16
AC090227.1	18
RN7SL205P	4
RNY3P10	13
AC104012.1	8
AL392166.1	6
RNU6-1037P	18
RN7SL209P	15
RNU6-537P	1
RNA5SP461	18
RNU6-203P	X
AC121343.1	X
AC006116.1	19
RNY4P27	13
AC079347.1	2
RNU2-34P	4
AC024051.2	17
AL136038.3	14
AC090821.4	8
AL139038.1	13
RN7SKP102	2
AC122179.1	11
NCR1	CHR_HSCHR19LRC_LRC_I_CTG3_1
RNA5SP384	14
AC079449.1	2
RNU7-107P	10
RNU6-388P	7
RNU6-1000P	4
AC133109.1	2
AC007351.3	12
RNU7-59P	11
SNORA32	11
RNU6-815P	3
RNU6-1294P	3
CR759763.2	CHR_HSCHR6_MHC_MCF_CTG1
AC010746.1	2
RNA5SP339	11
RNU2-20P	3
RNU6-791P	1
RNU6-946P	10
SNORD52	CHR_HSCHR6_MHC_DBB_CTG1
RNU6-532P	7
SNORD116-18	15
RN7SL496P	7
RNU4ATAC17P	3
RN7SL602P	2
RN7SL197P	20
AP004609.2	11
AC133550.1	16
RNU4-37P	8
AC006963.1	X
AC012588.2	18
RNU7-188P	7
RNA5SP59	1
RNU1-108P	17
RNU6-310P	4
AC063961.1	10
RNU1-104P	12
AC025278.3	19
RN7SL23P	11
AC011195.1	17
SNORA72	8
RNU6-1310P	1
FO681491.2	13
SNORA70I	2
CR788240.1	CHR_HSCHR6_MHC_MCF_CTG1
AC090518.2	15
SNORA65	9
SNORD100	6
RN7SKP17	14
AC005064.2	7
AC036222.2	17
RNU6-86P	9
RNY3P5	13
RNA5SP534	1
RNU6-818P	4
AC090571.1	8
RN7SL237P	20
AC012314.14	CHR_HSCHR19LRC_LRC_T_CTG3_1
RNA5SP332	11
RNU7-136P	3
RN7SL296P	3
AC097658.1	4
AL137247.1	13
AL162430.1	1
RNU6-110P	1
AC027290.1	12
AC055845.1	11
RNA5SP471	19
AL137009.1	6
AC044913.1	15
AL805917.1	CHR_HSCHR6_MHC_QBL_CTG1
AC104304.1	3
RNU6-811P	10
AC255560.1	CHR_HG126_PATCH
RNU6-146P	X
RNU6-625P	17
AC078843.2	7
RNA5SP183	5
AL133244.1	2
AL591846.1	1
RNU6-817P	1
RNU6-1189P	X
RNA5SP415	16
RN7SL516P	2
RNU1-32P	2
RN7SL38P	12
AC006960.1	7
AC120778.1	CHR_HSCHR15_3_CTG8
SNORD62B	9
RN7SL470P	2
MIR3115	1
RNA5SP221	6
AC024051.8	17
RN7SL329P	8
RN7SL856P	2
MIR6735	1
AC114737.1	7
MIR5584	1
RNU6-867P	X
RNU6-359P	16
SNORA74B	5
MIR556	1
RNA5SP48	1
