"hgnc_symbol"	"chromosome_name"
"A1BG"	"19"
"A2M"	"12"
"AAAS"	"12"
"AACS"	"12"
"AAGAB"	"15"
"AAK1"	"2"
"AAMDC"	"11"
"AARS2"	"6"
"AASDHPPT"	"11"
"AATF"	"CHR_HSCHR17_7_CTG4"
"AATF"	"17"
"ABAT"	"16"
"ABCB7"	"X"
"ABCC1"	"16"
"ABCC1"	"CHR_HSCHR16_1_CTG1"
"ABCC3"	"17"
"ABCD1"	"X"
"ABCD3"	"1"
"ABCE1"	"4"
"ABCF1"	"CHR_HSCHR6_MHC_QBL_CTG1"
"ABCF1"	"CHR_HSCHR6_MHC_COX_CTG1"
"ABCF1"	"CHR_HSCHR6_MHC_MCF_CTG1"
"ABCF1"	"6"
"ABCF1"	"CHR_HSCHR6_MHC_SSTO_CTG1"
"ABCF1"	"CHR_HSCHR6_MHC_DBB_CTG1"
"ABCF1"	"CHR_HSCHR6_MHC_MANN_CTG1"
"ABCF2"	"7"
"ABCF3"	"3"
"ABHD10"	"3"
"ABHD11"	"7"
"ABHD12"	"20"
"ABHD14B"	"3"
"ABHD16A"	"CHR_HSCHR6_MHC_SSTO_CTG1"
"ABHD16A"	"6"
"ABHD16A"	"CHR_HSCHR6_MHC_MCF_CTG1"
"ABHD16A"	"CHR_HSCHR6_MHC_COX_CTG1"
"ABHD16A"	"CHR_HSCHR6_MHC_QBL_CTG1"
"ABHD16A"	"CHR_HSCHR6_MHC_MANN_CTG1"
"ABHD16A"	"CHR_HSCHR6_MHC_DBB_CTG1"
"ABI1"	"10"
"ABLIM1"	"10"
"ABR"	"CHR_HSCHR17_2_CTG2"
"ABR"	"CHR_HSCHR17_3_CTG2"
"ABR"	"17"
"ABRACL"	"6"
"ACAA1"	"3"
"ACAA2"	"18"
"ACACA"	"CHR_HSCHR17_7_CTG4"
"ACACA"	"17"
"ACAD10"	"12"
"ACAD8"	"11"
"ACAD9"	"3"
"ACADM"	"1"
"ACADS"	"12"
"ACADSB"	"10"
"ACADVL"	"17"
"ACAP2"	"3"
"ACAT1"	"11"
"ACAT2"	"6"
"ACBD3"	"1"
"ACBD5"	"10"
"ACE"	"17"
"ACE2"	"X"
"ACIN1"	"14"
"ACLY"	"17"
"ACO1"	"9"
"ACO2"	"22"
"ACOT1"	"14"
"ACOT11"	"1"
"ACOT13"	"6"
"ACOT7"	"1"
"ACOT8"	"20"
"ACOT9"	"X"
"ACOX1"	"17"
"ACOX3"	"4"
"ACP1"	"2"
"ACP2"	"11"
"ACSF2"	"17"
"ACSF3"	"16"
"ACSL1"	"4"
"ACSL3"	"2"
"ACSL4"	"X"
"ACSL5"	"10"
"ACSS1"	"20"
"ACSS2"	"20"
"ACTA2"	"10"
"ACTB"	"7"
"ACTBL2"	"5"
"ACTG1"	"17"
"ACTG2"	"2"
"ACTL6A"	"3"
"ACTN1"	"14"
"ACTN2"	"1"
"ACTN4"	"19"
"ACTN4"	"CHR_HG26_PATCH"
"ACTR10"	"14"
"ACTR1A"	"10"
"ACTR1B"	"2"
"ACTR2"	"2"
"ACTR3"	"2"
"ACY1"	"3"
"ACYP1"	"14"
"ADAM10"	"15"
"ADAR"	"1"
"ADD1"	"4"
"ADD3"	"10"
"ADGRE5"	"19"
"ADH1B"	"4"
"ADH1C"	"4"
"ADH5"	"4"
"ADK"	"10"
"ADNP"	"20"
"ADPGK"	"15"
"ADPRHL2"	"1"
"ADRM1"	"20"
"ADSL"	"22"
"AEBP1"	"7"
"AFAP1"	"4"
"AFDN"	"6"
"AFG3L2"	"18"
"AFM"	"4"
"AGFG1"	"2"
"AGK"	"CHR_HSCHR7_1_CTG6"
"AGK"	"7"
"AGL"	"1"
"AGMAT"	"1"
"AGO2"	"8"
"AGPAT5"	"8"
"AGPAT5"	"CHR_HG76_PATCH"
"AGPS"	"2"
"AGR2"	"7"
"AGR3"	"7"
"AGRN"	"1"
"AGT"	"1"
"AHCTF1"	"1"
"AHCY"	"20"
"AHCYL1"	"1"
"AHNAK"	"11"
"AHNAK2"	"14"
"AHSA1"	"14"
"AHSG"	"3"
"AIDA"	"1"
"AIF1"	"CHR_HSCHR6_MHC_SSTO_CTG1"
"AIF1"	"CHR_HSCHR6_MHC_QBL_CTG1"
"AIF1"	"CHR_HSCHR6_MHC_DBB_CTG1"
"AIF1"	"CHR_HSCHR6_MHC_COX_CTG1"
"AIF1"	"6"
"AIF1"	"CHR_HSCHR6_MHC_MCF_CTG1"
"AIFM1"	"X"
"AIMP1"	"4"
"AIMP2"	"7"
"AIP"	"11"
"AK1"	"9"
"AK2"	"1"
"AK3"	"9"
"AK4"	"1"
"AKAP1"	"17"
"AKAP12"	"6"
"AKAP13"	"15"
"AKAP17A"	"X"
"AKAP8L"	"19"
"AKAP9"	"7"
"AKR1A1"	"1"
"AKR1B1"	"7"
"AKR1C3"	"10"
"AKR7A2"	"1"
"AKR7A3"	"1"
"AKT1"	"14"
"AKT1S1"	"19"
"ALAD"	"9"
"ALB"	"4"
"ALCAM"	"3"
"ALDH16A1"	"19"
"ALDH18A1"	"10"
"ALDH1A1"	"9"
"ALDH1B1"	"9"
"ALDH1L2"	"12"
"ALDH2"	"12"
"ALDH3A2"	"17"
"ALDH4A1"	"1"
"ALDH5A1"	"6"
"ALDH6A1"	"14"
"ALDH7A1"	"5"
"ALDH9A1"	"1"
"ALDOA"	"16"
"ALDOB"	"9"
"ALDOC"	"17"
"ALG1"	"16"
"ALG13"	"X"
"ALG2"	"9"
"ALG3"	"3"
"ALG5"	"13"
"ALOX5"	"10"
"ALOX5"	"CHR_HSCHR10_1_CTG2"
"ALOX5AP"	"13"
"ALYREF"	"17"
"AMACR"	"5"
"AMBP"	"9"
"AMPD2"	"1"
"AMPD3"	"11"
"ANAPC1"	"2"
"ANAPC7"	"12"
"ANG"	"14"
"ANK3"	"10"
"ANKFY1"	"17"
"ANKRD22"	"10"
"ANKRD28"	"3"
"ANO10"	"3"
"ANO6"	"12"
"ANP32A"	"15"
"ANP32B"	"9"
"ANP32E"	"1"
"ANPEP"	"15"
"ANXA1"	"9"
"ANXA11"	"10"
"ANXA13"	"8"
"ANXA2"	"15"
"ANXA3"	"4"
"ANXA4"	"2"
"ANXA5"	"4"
"ANXA6"	"5"
"ANXA7"	"10"
"AOC1"	"7"
"AOC3"	"17"
"AP1B1"	"22"
"AP1G1"	"16"
"AP1G2"	"14"
"AP1M1"	"19"
"AP1M2"	"19"
"AP1S1"	"7"
"AP1S2"	"X"
"AP2A1"	"19"
"AP2A2"	"CHR_HSCHR11_2_CTG1"
"AP2A2"	"CHR_HSCHR11_3_CTG1"
"AP2A2"	"11"
"AP2B1"	"17"
"AP2M1"	"3"
"AP2S1"	"19"
"AP3B1"	"5"
"AP3D1"	"19"
"AP3M1"	"10"
"AP3S1"	"5"
"APAF1"	"12"
"APCS"	"1"
"APEH"	"3"
"APEX1"	"14"
"API5"	"11"
"APMAP"	"20"
"APOA1"	"11"
"APOA2"	"1"
"APOA4"	"11"
"APOB"	"2"
"APOBR"	"16"
"APOC3"	"11"
"APOE"	"19"
"APOH"	"17"
"APOL2"	"22"
"APOO"	"X"
"APOOL"	"X"
"APP"	"21"
"APPL1"	"3"
"APPL2"	"12"
"APRT"	"16"
"AQR"	"15"
"ARAF"	"X"
"ARAP1"	"11"
"ARCN1"	"11"
"ARF4"	"3"
"ARF5"	"7"
"ARF6"	"14"
"ARFGAP1"	"20"
"ARFGAP2"	"11"
"ARFGAP3"	"22"
